Locus	CUI
b0001	0.0238
b0002	0.0230
b0003	0.0223
b0004	0.0241
b0005	0.0194
b0006	0.0232
b0007	0.0219
b0008	0.0256
b0009	0.0227
b0010	0.0263
b0011	0.0230
b0013	0.0227
b0014	0.0255
b0015	0.0233
b0016	0.0196
b0018	0.0190
b4412	0.0202
b0019	0.0226
b0020	0.0214
b0021	0.0209
b0022	0.0183
b0023	0.0218
b0024	0.0188
b0025	0.0230
b0026	0.0241
b0027	0.0237
b0028	0.0244
b0029	0.0245
b0030	0.0223
b0031	0.0233
b0032	0.0232
b0033	0.0254
b0034	0.0208
b0035	0.0206
b0036	0.0252
b0037	0.0226
b0038	0.0239
b0039	0.0239
b0040	0.0224
b0041	0.0240
b0042	0.0241
b0043	0.0239
b0044	0.0240
b0045	0.0224
b0046	0.0227
b0047	0.0251
b0048	0.0229
b0049	0.0243
b0050	0.0209
b0051	0.0231
b0052	0.0228
b0053	0.0247
b0054	0.0216
b0055	0.0240
b0058	0.0230
b0059	0.0256
b0060	0.0230
b0061	0.0228
b0062	0.0243
b0063	0.0229
b0064	0.0210
b0065	0.0237
b0066	0.0220
b0067	0.0242
b0068	0.0236
b0069	0.0222
b4662	0.0195
b0070	0.0210
b0071	0.0242
b0072	0.0247
b0073	0.0245
b0074	0.0241
b0075	0.0161
b0076	0.0205
b0077	0.0215
b0078	0.0216
b0080	0.0226
b0081	0.0215
b0082	0.0231
b0083	0.0216
b0084	0.0228
b0085	0.0241
b0086	0.0237
b0087	0.0242
b0088	0.0247
b0089	0.0242
b0090	0.0230
b0091	0.0237
b0092	0.0223
b0093	0.0224
b0094	0.0221
b0095	0.0244
b0096	0.0232
b0097	0.0206
b0098	0.0253
b0099	0.0242
b0101	0.0206
b0102	0.0232
b0103	0.0218
b0104	0.0231
b0106	0.0224
b0107	0.0208
b0108	0.0209
b0109	0.0233
b0110	0.0216
b0111	0.0220
b0112	0.0241
b0113	0.0228
b0114	0.0244
b0115	0.0250
b0116	0.0250
b0117	0.0197
b0118	0.0254
b0119	0.0239
b0120	0.0229
b0121	0.0223
b0122	0.0215
b0123	0.0232
b0124	0.0236
b0125	0.0255
b0126	0.0226
b0127	0.0236
b0128	0.0225
b0129	0.0202
b0130	0.0216
b0131	0.0230
b0132	0.0212
b0133	0.0246
b0134	0.0241
b0135	0.0178
b0136	0.0184
b0137	0.0185
b0138	0.0192
b0139	0.0199
b0140	0.0204
b0141	0.0218
b0142	0.0224
b0143	0.0238
b0144	0.0211
b0145	0.0246
b0146	0.0210
b0147	0.0201
b0148	0.0232
b0149	0.0237
b0150	0.0225
b0151	0.0240
b0152	0.0229
b0153	0.0245
b0154	0.0241
b0155	0.0232
b0156	0.0251
b0157	0.0229
b0158	0.0218
b0159	0.0235
b0160	0.0216
b0161	0.0246
b0162	0.0233
b0163	0.0231
b0164	0.0214
b0166	0.0244
b0167	0.0225
b0168	0.0237
b0169	0.0241
b0170	0.0251
b0171	0.0253
b0172	0.0257
b0173	0.0226
b0174	0.0214
b0175	0.0209
b0176	0.0215
b0177	0.0226
b0178	0.0248
b0179	0.0226
b0180	0.0241
b0181	0.0232
b0182	0.0240
b0183	0.0247
b0184	0.0234
b0185	0.0259
b0186	0.0222
b0187	0.0225
b0188	0.0228
b0189	0.0231
b4406	0.0216
b0190	0.0246
b0191	0.0223
b0192	0.0222
b0193	0.0206
b0194	0.0248
b0195	0.0223
b0196	0.0198
b0197	0.0255
b0198	0.0237
b0199	0.0236
b0200	0.0233
b0207	0.0235
b0208	0.0202
b0209	0.0208
b0210	0.0213
b0211	0.0214
b0212	0.0187
b0213	0.0194
b0214	0.0224
b0215	0.0220
b0217	0.0203
b4586	0.0168
b0219	0.0217
b0220	0.0213
b0221	0.0244
b0222	0.0240
b0223	0.0214
b0224	0.0208
b0225	0.0194
b0226	0.0226
b0227	0.0203
b0228	0.0181
b0231	0.0229
b0232	0.0195
b0233	0.0209
b0234	0.0198
b0237	0.0255
b0238	0.0242
b0239	0.0221
b0241	0.0231
b0242	0.0240
b0243	0.0242
b0245	0.0202
b0246	0.0220
b4504	0.0198
b0247	0.0214
b0248	0.0209
b0249	0.0202
b0250	0.0197
b0251	0.0231
b0252	0.0213
b0253	0.0215
b0254	0.0204
b0256	0.0186
b0259	0.0221
b0260	0.0225
b0261	0.0247
b0262	0.0237
b0264	0.0207
b0265	0.0184
b0267	0.0219
b0268	0.0242
b0269	0.0242
b0270	0.0235
b0271	0.0218
b0272	0.0239
b0273	0.0244
b0274	0.0207
b0275	0.0184
b0277	0.0198
b0278	0.0176
b0279	0.0183
b0280	0.0179
b0281	0.0192
b0283	0.0215
b0284	0.0226
b0285	0.0222
b0286	0.0208
b0287	0.0192
b0288	0.0175
b0289	0.0200
b0290	0.0203
b0291	0.0213
b0292	0.0208
b0293	0.0224
b0294	0.0200
b0295	0.0182
b4506	0.0202
b0296	0.0188
b4671	0.0211
b0298	0.0227
b0299	0.0206
b0301	0.0211
b0303	0.0192
b0304	0.0208
b0305	0.0195
b0306	0.0220
b0307	0.0217
b0308	0.0226
b0310	0.0200
b0311	0.0235
b0312	0.0244
b0313	0.0237
b0314	0.0231
b0315	0.0215
b0316	0.0228
b0317	0.0203
b0318	0.0227
b0319	0.0213
b0320	0.0246
b0321	0.0245
b0323	0.0242
b0324	0.0241
b0325	0.0221
b0326	0.0191
b0327	0.0179
b0328	0.0199
b0329	0.0229
b0330	0.0239
b0331	0.0245
b0333	0.0238
b0334	0.0235
b0335	0.0232
b0336	0.0226
b0337	0.0233
b0338	0.0209
b0339	0.0210
b0340	0.0243
b0341	0.0229
b0342	0.0196
b0343	0.0230
b0344	0.0227
b0345	0.0233
b0346	0.0236
b0347	0.0238
b0348	0.0217
b0349	0.0248
b0350	0.0234
b0351	0.0237
b0352	0.0239
b0353	0.0223
b0354	0.0233
b0355	0.0214
b0356	0.0232
b0357	0.0210
b0358	0.0215
b0360	0.0204
b0361	0.0194
b0363	0.0205
b0364	0.0198
b0365	0.0237
b0366	0.0245
b0367	0.0243
b0368	0.0226
b0369	0.0235
b0372	0.0206
b0373	0.0227
b0375	0.0197
b0376	0.0222
b0377	0.0222
b0378	0.0223
b0379	0.0221
b0380	0.0232
b0381	0.0232
b0382	0.0213
b0383	0.0232
b0384	0.0206
b0385	0.0217
b0386	0.0237
b0387	0.0230
b0388	0.0223
b0389	0.0200
b0390	0.0227
b0391	0.0219
b0393	0.0254
b0394	0.0223
b0396	0.0217
b0397	0.0234
b0398	0.0226
b0399	0.0226
b0400	0.0230
b0401	0.0237
b0402	0.0235
b0403	0.0227
b0404	0.0214
b0405	0.0240
b0406	0.0225
b0407	0.0251
b0408	0.0243
b0409	0.0234
b0410	0.0217
b0411	0.0221
b0412	0.0208
b0413	0.0231
b0414	0.0221
b0415	0.0255
b0416	0.0243
b0417	0.0224
b0418	0.0223
b0419	0.0225
b0420	0.0242
b0421	0.0226
b0422	0.0256
b0423	0.0244
b0424	0.0246
b0425	0.0223
b0426	0.0248
b0427	0.0233
b0428	0.0229
b0429	0.0227
b0430	0.0233
b0431	0.0234
b0432	0.0216
b0433	0.0222
b0434	0.0247
b0435	0.0204
b0436	0.0261
b0437	0.0241
b0438	0.0254
b0439	0.0252
b0440	0.0226
b0441	0.0254
b0442	0.0243
b0443	0.0218
b0444	0.0235
b0445	0.0214
b0446	0.0213
b0447	0.0239
b0448	0.0232
b0449	0.0238
b0450	0.0246
b0451	0.0240
b0452	0.0227
b0453	0.0219
b0454	0.0208
b0456	0.0216
b0457	0.0217
b0458	0.0235
b0459	0.0203
b0460	0.0219
b0461	0.0204
b0462	0.0239
b0463	0.0232
b0464	0.0211
b0465	0.0243
b0466	0.0261
b0467	0.0241
b0468	0.0221
b0469	0.0252
b0470	0.0242
b0471	0.0260
b0472	0.0230
b0473	0.0256
b0474	0.0253
b0475	0.0234
b0476	0.0210
b0477	0.0232
b0478	0.0251
b0479	0.0226
b0480	0.0243
b0481	0.0241
b0482	0.0225
b0483	0.0223
b0484	0.0244
b0485	0.0222
b0486	0.0228
b0487	0.0238
b0488	0.0219
b0489	0.0245
b0490	0.0218
b0491	0.0224
b0492	0.0265
b0493	0.0226
b0494	0.0224
b0495	0.0230
b0496	0.0240
b0497	0.0210
b0498	0.0193
b0503	0.0242
b0504	0.0218
b0505	0.0229
b0506	0.0218
b0507	0.0237
b0508	0.0231
b0509	0.0248
b0511	0.0222
b0512	0.0247
b0513	0.0214
b0514	0.0237
b0515	0.0228
b0516	0.0228
b0517	0.0214
b0518	0.0232
b4572	0.0235
b0520	0.0209
b0521	0.0233
b0522	0.0240
b0523	0.0248
b0524	0.0235
b0525	0.0236
b0526	0.0243
b0527	0.0206
b0528	0.0242
b0529	0.0237
b0530	0.0194
b0531	0.0196
b0532	0.0202
b0533	0.0204
b0534	0.0196
b0535	0.0198
b0537	0.0192
b0540	0.0227
b0541	0.0206
b0543	0.0188
b0544	0.0180
b0545	0.0173
b0546	0.0166
b4588	0.0165
b0547	0.0211
b0548	0.0181
b0549	0.0213
b0550	0.0224
b4509	0.0196
b0551	0.0201
b0552	0.0221
b0554	0.0219
b0555	0.0198
b0556	0.0219
b4510	0.0180
b0557	0.0206
b0558	0.0187
b0559	0.0212
b4589	0.0180
b0560	0.0239
b0564	0.0177
b0565	0.0192
b0566	0.0196
b0567	0.0224
b0568	0.0226
b0569	0.0230
b0570	0.0219
b0571	0.0238
b0572	0.0227
b0573	0.0240
b0574	0.0238
b0575	0.0241
b0576	0.0241
b0577	0.0237
b0578	0.0238
b0579	0.0219
b0580	0.0245
b0581	0.0225
b4415	0.0210
b0582	0.0196
b0583	0.0199
b0584	0.0232
b0585	0.0208
b4511	0.0206
b0586	0.0234
b0587	0.0226
b0588	0.0230
b0589	0.0236
b0590	0.0238
b0591	0.0234
b0592	0.0227
b0593	0.0234
b0594	0.0236
b0595	0.0241
b0596	0.0238
b0597	0.0221
b0598	0.0248
b4512	0.0221
b0599	0.0232
b0600	0.0223
b0601	0.0226
b0602	0.0197
b0603	0.0186
b0604	0.0208
b0605	0.0242
b0606	0.0247
b0607	0.0218
b0608	0.0217
b0610	0.0230
b0611	0.0213
b0612	0.0233
b0613	0.0220
b0614	0.0208
b0615	0.0244
b0616	0.0251
b0617	0.0236
b0618	0.0226
b0619	0.0225
b0620	0.0214
b0621	0.0228
b0622	0.0215
b0623	0.0206
b0624	0.0203
b0627	0.0240
b0628	0.0239
b0629	0.0205
b0630	0.0215
b0631	0.0229
b0632	0.0237
b0633	0.0207
b0634	0.0234
b0635	0.0234
b0636	0.0222
b0637	0.0230
b0638	0.0215
b0639	0.0221
b0640	0.0222
b0641	0.0220
b0642	0.0243
b0643	0.0224
b0644	0.0209
b0645	0.0190
b0646	0.0214
b0647	0.0200
b0648	0.0190
b0649	0.0212
b0650	0.0223
b0651	0.0231
b0652	0.0252
b0653	0.0230
b0654	0.0232
b0655	0.0241
b0656	0.0221
b0657	0.0239
b0658	0.0237
b0659	0.0243
b0660	0.0252
b0661	0.0242
b0662	0.0231
b0674	0.0237
b0675	0.0232
b0676	0.0240
b0677	0.0242
b0678	0.0241
b0679	0.0247
b0680	0.0242
b0681	0.0225
b0682	0.0232
b0683	0.0235
b4637	0.0168
b0684	0.0245
b0685	0.0248
b0686	0.0221
b0687	0.0216
b0688	0.0243
b0689	0.0188
b0692	0.0228
b0693	0.0230
b4590	0.0187
